
beat  bar.beat  sounding (low->high)
  85.5   22.2.5  E2 C3 E3 G3 C4 D4 C5 E5 G5
  86.0   22.3.0  E2 C3 E3 G3 C4 D4 G4 C5 G5
  86.5   22.3.5  F2 C3 F3 C4 F4 A4 C5 F5
  87.0   22.4.0  F2 C3 F3 C4 F4 A4 C5 F5
  87.5   22.4.5  F2 C3 F3 C4 F4 C5 F5 C6
  88.0   23.1.0  F1 F2 C3 F3 A3 C4 F4 C5 F5 A5 C6
  88.5   23.1.5  F1 F2 C3 F3 A3 C4 F4 C5 F5 A5 F6
  89.0   23.2.0  F1 F2 C3 F3 A3 C4 F4 C5 A5 C6 F6
  89.5   23.2.5  F1 F2 C3 F3 A3 C4 F4 C5 A5 F6 G6
  90.0   23.3.0  F1 F2 C3 F3 A3 C4 F4 C5 A5 E6 F6 C7
  90.5   23.3.5  F1 F2 C3 F3 A3 C4 F4 C5 A5 F6 A6
  91.0   23.4.0  F1 F2 C3 F3 A3 C4 F4 C5 A5 F6 A6 C7 F7
  91.5   23.4.5  F1 F2 C3 F3 A3 C4 F4 C5 G5 A5 C6 F6
  92.0   24.1.0  F1 F2 D3 F3 Bb3 D4 F4 D5 Bb5 C6 F6
  92.5   24.1.5  F1 F2 D3 F3 Bb3 D4 F4 D5 F5 Bb5 C6 F6 Bb6
  93.0   24.2.0  F1 F2 D3 F3 Bb3 D4 F4 D5 Bb5 D6 F6 Bb6
  93.5   24.2.5  F1 F2 D3 F3 Bb3 D4 F4 D5 Bb5 D6 F6 A6 D7
  94.0   24.3.0  F1 F2 C3 E3 G3 C4 E4 C5 C6 D6 E6 G6
  94.5   24.3.5  F1 F2 C3 E3 G3 C4 E4 C5 C6 D6 E6 C7
  95.0   24.4.0  F1 F2 C3 E3 G3 C4 E4 C5 C6 E6 G6
  95.5   24.4.5  F1 F2 C3 E3 G3 C4 E4 C5 C6 E6 E7
  96.0   25.1.0  F1 D2 F2 C3 D3 E3 G3 A3 C4 D4 E4 F4 A4 C5 D5 C6 E6 G6 C7
  96.5   25.1.5  D2 D3 A3 D4 F4 A4 D5 C7
  97.0   25.2.0  D2 D3 A3 D4 F4 A4 D5
  97.5   25.2.5  D2 D3 A3 D4 F4 A4 D5
  98.0   25.3.0  D2 D3 A3 D4 F4 A4 D5
  98.5   25.3.5  D2 D3 A3 D4 F4 A4 D5
  99.0   25.4.0  D2 D3 A3 D4 F4 A4 D5
  99.5   25.4.5  D2 D3 A3 D4 F4 A4 D5
 100.0   26.1.0  D2 D3 F3 A3 Bb3 D4 F4 A4 Bb4 D5 F5
 100.5   26.1.5  D2 D3 F3 Bb3 D4 F4 Bb4 D5 F5
 101.0   26.2.0  D2 D3 F3 Bb3 D4 F4 Bb4 D5 F5
 101.5   26.2.5  D2 D3 F3 Bb3 D4 F4 Bb4 D5 F5
